area,UNIT_MEASURE,type,TIME_PERIOD,OBS_VALUE,type_id
Australia,PS,Government/compulsory health insurance,2000,19029,1
Australia,PS,Government/compulsory health insurance,2001,19275,1
Australia,PS,Government/compulsory health insurance,2002,19495,1
Australia,PS,Government/compulsory health insurance,2003,19721,1
Australia,PS,Government/compulsory health insurance,2004,19933,1
Australia,PS,Government/compulsory health insurance,2005,20177,1
Australia,PS,Government/compulsory health insurance,2006,20451,1
Australia,PS,Government/compulsory health insurance,2007,20828,1
Australia,PS,Government/compulsory health insurance,2008,21249,1
Australia,PS,Government/compulsory health insurance,2009,21692,1
Australia,PS,Government/compulsory health insurance,2010,22032,1
Australia,PS,Government/compulsory health insurance,2011,22340,1
Australia,PS,Government/compulsory health insurance,2012,22733,1
Australia,PS,Government/compulsory health insurance,2013,23128,1
Australia,PS,Government/compulsory health insurance,2014,23476,1
Australia,PS,Government/compulsory health insurance,2015,23816,1
Australia,PS,Government/compulsory health insurance,2016,24191,1
Australia,PS,Government/compulsory health insurance,2017,24594,1
Australia,PS,Government/compulsory health insurance,2018,24967,1
Australia,PS,Government/compulsory health insurance,2019,25340,1
Australia,PS,Government/compulsory health insurance,2020,25655,1
Australia,PS,Government/compulsory health insurance,2021,25688,1
Australia,PS,Government/compulsory health insurance,2022,25979,1
Australia,PS,Government/compulsory health insurance,2023,26638.5,1
Australia,PT_POP,Public and primary voluntary health insurance,2000,100,2
Australia,PT_POP,Public and primary voluntary health insurance,2001,100,2
Australia,PT_POP,Public and primary voluntary health insurance,2002,100,2
Australia,PT_POP,Public and primary voluntary health insurance,2003,100,2
Australia,PT_POP,Public and primary voluntary health insurance,2004,100,2
Australia,PT_POP,Public and primary voluntary health insurance,2005,100,2
Australia,PT_POP,Public and primary voluntary health insurance,2006,100,2
Australia,PT_POP,Public and primary voluntary health insurance,2007,100,2
Australia,PT_POP,Public and primary voluntary health insurance,2008,100,2
Australia,PT_POP,Public and primary voluntary health insurance,2009,100,2
Australia,PT_POP,Public and primary voluntary health insurance,2010,100,2
Australia,PT_POP,Public and primary voluntary health insurance,2011,100,2
Australia,PT_POP,Public and primary voluntary health insurance,2012,100,2
Australia,PT_POP,Public and primary voluntary health insurance,2013,100,2
Australia,PT_POP,Public and primary voluntary health insurance,2014,100,2
Australia,PT_POP,Public and primary voluntary health insurance,2015,100,2
Australia,PT_POP,Public and primary voluntary health insurance,2016,100,2
Australia,PT_POP,Public and primary voluntary health insurance,2017,100,2
Australia,PT_POP,Public and primary voluntary health insurance,2018,100,2
Australia,PT_POP,Public and primary voluntary health insurance,2019,100,2
Australia,PT_POP,Public and primary voluntary health insurance,2020,100,2
Australia,PT_POP,Public and primary voluntary health insurance,2021,100,2
Australia,PT_POP,Public and primary voluntary health insurance,2022,100,2
Australia,PT_POP,Public and primary voluntary health insurance,2023,100,2
Australia,PT_POP,Government/compulsory health insurance,2000,100,1
Australia,PT_POP,Government/compulsory health insurance,2001,100,1
Australia,PT_POP,Government/compulsory health insurance,2002,100,1
Australia,PT_POP,Government/compulsory health insurance,2003,100,1
