area,FREQ,Frequency of observation,MEASURE,Measure,Age,SEX,Sex,TIME_PERIOD,Time period,OBS_VALUE
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1960,,64.9
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1961,,64.9
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1962,,64.5
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1963,,65.4
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1964,,65.8
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1965,,66.6
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1966,,66.9
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1967,,66.4
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1968,,67
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1969,,66.5
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1970,,66.6
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1971,,66.1
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1972,,67.3
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1973,,67.2
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1974,,67.8
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1975,,67
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1976,,66.9
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1977,,66.5
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1978,,66.4
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1979,,66.8
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1980,,66
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1981,,67.1
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1982,,67.2
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1983,,67
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1984,,66.8
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1985,,66.9
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1986,,66.8
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1987,,67.8
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1988,,67.2
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1989,,66.8
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1990,,66.3
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1991,,65.9
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1992,,66.5
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1993,,67.2
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1994,,67.5
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1995,,67.7
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1996,,68.1
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1997,,68.5
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1998,,68.9
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1999,,68.8
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2000,,69.6
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2001,,70
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2002,,70.3
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2003,,70.5
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2004,,70.6
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2005,,70.8
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2006,,70.9
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2007,,71
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2008,,71.3
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2009,,71.5
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2010,,72.2
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2011,,72.5
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2012,,72.6
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2013,,73
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2014,,73.7
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2015,,73.5
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2016,,73.9
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2017,,73.9
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2018,,73.7
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2019,,74.1
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2020,,72.4
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2021,,71.4
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2022,,73.4
Poland,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2023,,74.8
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1961,,-5.8
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1966,,-6.4
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1971,,-7.1
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1976,,-7.3
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1979,,-7.4
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1980,,-7.2
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1981,,-7.1
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1982,,-7
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1983,,-6.9
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1984,,-6.8
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1985,,-6.8
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1986,,-6.6
